filename, timestamp_s, label, logit
AUVIC_CoreaSouth_Plantation-20231019_211000,0.00,limnodynastes_dumerilii,5.56
AUVIC_CoreaSouth_Plantation-20231019_211000,5.00,limnodynastes_dumerilii,6.25
AUVIC_CoreaSouth_Plantation-20231019_211000,10.00,limnodynastes_dumerilii,6.80
AUVIC_CoreaSouth_Plantation-20231019_211000,15.00,limnodynastes_dumerilii,4.54
AUVIC_CoreaSouth_Plantation-20231019_211000,20.00,limnodynastes_dumerilii,4.31
AUVIC_CoreaSouth_Plantation-20231019_211000,25.00,limnodynastes_dumerilii,5.25
AUVIC_CoreaSouth_Plantation-20231019_211000,30.00,limnodynastes_dumerilii,5.58
AUVIC_CoreaSouth_Plantation-20231019_211000,35.00,limnodynastes_dumerilii,6.26
AUVIC_CoreaSouth_Plantation-20231019_211000,40.00,limnodynastes_dumerilii,5.43
AUVIC_CoreaSouth_Plantation-20231019_211000,45.00,limnodynastes_dumerilii,5.94
AUVIC_CoreaSouth_Plantation-20231019_211000,50.00,limnodynastes_dumerilii,4.88
