filename, timestamp_s, label, logit
AUVIC_CoreaSouth_Plantation-20231019_211000,0.00,litoria_ewingii,3.19
AUVIC_CoreaSouth_Plantation-20231019_211000,5.00,litoria_ewingii,3.03
AUVIC_CoreaSouth_Plantation-20231019_211000,10.00,litoria_ewingii,3.28
AUVIC_CoreaSouth_Plantation-20231019_211000,15.00,litoria_ewingii,2.75
AUVIC_CoreaSouth_Plantation-20231019_211000,20.00,litoria_ewingii,2.65
AUVIC_CoreaSouth_Plantation-20231019_211000,25.00,litoria_ewingii,3.16
AUVIC_CoreaSouth_Plantation-20231019_211000,35.00,litoria_ewingii,2.78
AUVIC_CoreaSouth_Plantation-20231019_211000,40.00,litoria_ewingii,3.48
AUVIC_CoreaSouth_Plantation-20231019_211000,45.00,litoria_ewingii,3.19
AUVIC_CoreaSouth_Plantation-20231019_211000,50.00,litoria_ewingii,2.74
